CODE,NAME,COMMON NAME,OWNERSHIP,TYPE,STATUS,ZONE,DISTRICT,DATE OPENED,Year_Opened,LATITUDE,LONGITUDE
BT240332,"De Johnstone, maria I.M","De Johnstone, Maria I.M",Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
MJ210336,Demula,Demule,Christian Health Association of Malawi (CHAM),Health Post,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-15.962755,35.480067
ZA230337,Dental Studio-Zomba Clinic,Dental Studio-Zomba Clinic,Private,Dispensary,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-1,1
BT240342,District Health Office Mobile,District Health Office Mobile,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-13.2512161,34.3015278
MH200343,DMI-St. John the Baptist University Clinic,DMI-St. John the Baptist University Clinic,Private,Dispensary,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,,
CK270345,Dolo Health Centre,Dolo,Government,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.55349,34.92423
ZA230347,Domasi Rural Hospital,Ginisi,Government,Hospital,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.28099,35.39935
BT240353,Dr Chilemba Surgery,Chilemba,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.7864,35.0008
BT240356,Dr Kayange,Dr Kayange,Mission/Faith-based (other than CHAM),Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
BT240358,Dr. Kidys,Dr. Kidys,Private,Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.78662,35.00755
BT240359,Dr. S. Kampondeni,kampondeni,Private,Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81641,35.06629
MJ210367,Dzenje Health Centre,Dzenje,Government,Health Centre,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.11695,35.40558
TO310369,Didi Health Centre ,DiDi,Government,Health Centre,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.06096,34.98999
TO310370,Dzimbiri Health Post,Dzimbiri Health Post,Government,Health Post,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.10202,34.99722
BT240373,Dziwe Health Centre,Dziwe,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.56369,34.88038
BT240377,Ebenezar,Ebenezer private clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.746697,35.020051
MJ210381,Ekhamuno,Ekhamuno,Christian Health Association of Malawi (CHAM),Health Post,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.067525,35.462732
BT240384,El-Barakah,El_ Barakah Private clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.68337,34.96584
MJ210385,Eldorado Estate Clinic,Eldorado,Other,Clinic,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.06679,35.6139
BT240386,Elim,Elim Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.8188,35.01231
MJ210396,Esparanza Estate Clinic,esparanza,Other,Clinic,Non-functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.03395,35.50475
BT240401,Family Health,Family Health clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.802603,35.051349
MJ210409,Fomo Clinic,Fomo,Private,Clinic,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.00603,35.48167
NN290410,Fpam Clinic,Fpam,Private,Dispensary,Functional,South East Zone,Neno,Jan 1st 75,Before Flood,-1,1
CK270414,Gaga Health Centre,Gaga,Government,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-15.80678,34.36487
BT240417,Gate Way,Gateway Dispensary,Government,Dispensary,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.804572,35.017828
BT240418,"Gatrad, Mahomed I",Gatrad Mahomed I,Private,Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.78707,35.00625
BT240421,Ginnery Corner BLM,Ginnery Corner BLM,Non-Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
BT240422,"Girach, Bilkis A",Girach,Private,Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.78721,35.00488
MJ210423,Glenorchy Estate Clinic,Glenorchy,Other,Clinic,Non-functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-15.9833,35.48386
BT240424,GM Opticals,GM Opticals,Mission/Faith-based (other than CHAM),Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15,35
BT240426,God Heals,God Heals,Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
CK270429,Gola,Gola,Government,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-15.883962,34.299339
TO310435,Gotha Dispensary,Gotha Dispensary,Private,Dispensary,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.09239,35.19011
TO310436,Gotha Estate Clinic,Gotha Estate Clinic,Government,Clinic,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-15.77213,35.76965
CK270439,Grecious,Grecious,Private,Clinic,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.26,34.87
ZA230443,H Parker Sharp Dispensary,H Parker,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.29912,35.36092
MH200444,H.M.C private clinic,H.M.C Private Clinic,Private,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.22,35.03
TO310445,Halena Oakely/Ntambanyama Health Centre,Ntambanyama,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.12668,35.08457
BT240447,Hasco,Hasco Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.77738,35.00621
BT240448,Healing Hearts,Healing Hearts,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.74,35.01
BT240449,Henred,Henred,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.78901,35.03458
TO310450,"Hiwa, Garfield J. Monekera Pri",Hiwa Clinic,Private,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-15.92686,35.08661
BT240454,Hope Medical centre,Hope Medical centre,Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
CK270455,Hope Village,Hope,Private,Dispensary,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.106218,34.832659
ZA230458,Hunger,Hunger,Non-Government,Clinic,Non-functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.500005,35.470979
CK270459,Hunger Clinic,Hunger Clinic,Government,Clinic,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.27045,34.86368
MH200460,Iba Dispensary,Iba dispensery,Government,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.30711,35.39707
CK270463,Illovo Factory Estate Clinic - Nchalo,Illovo Factory Estate Clinic - Nchalo,Private,Dispensary,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,,
MH200469,Jalasi Health Centre,Jalasi,Government,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.36298,35.44253
TO310472,Jeofia,Jeofia Private Clinic,Private,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.00758,35.30825
BT240473,"Jere, Raymond M. Medicare",Medicare,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.78671,35.00799
BT240485,Kachere Rehabilitation Centre,Kachere Rehabilitation,Non-Government,Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.80339,35.01819
MH200488,Kadango Dispensary,Kadango,Government,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.060711,35.186208
TO310489,Kadango Health Centre,Kadango Private Clinic.,Private,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.00683,35.31009
BT240490,Kadidi Health Centre,Kadidi,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.66083,35.02212
CK270495,Kakoma Health Centre,Kakoma,Government,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.09819,34.62398
NE300496,Kalemba Community Hospital,Kalemba,Christian Health Association of Malawi (CHAM),Hospital,Functional,South East Zone,Nsanje,Jan 1st 75,Before Flood,-16.57572,35.11207
BLK170497,Kalembo Health Centre,Kalembo,Government,Health Centre,Functional,South West Zone,Balaka,Jan 1st 75,Before Flood,-14.84268,35.17081
TO310504,"Kaliwo, Ignacious S. Luchenza",Luchenza Private clinic,Private,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.00796,35.30939
BT240506,Kalong - Limbe,Kalong - Limbe,Mission/Faith-based (other than CHAM),Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.80902,35.05916
CK270508,"Kalulu Health Centre, Chikwawa","Kalulu Health Centre, Chikwawa",Government,Dispensary,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,,
MJ210515,Kambenje Health Centre,Kambenje,Government,Health Centre,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-15.85308,35.56394
NE300522,Kamphata Health Post,Kamphata,Government,Health Post,Functional,South East Zone,Nsanje,Jan 1st 75,Before Flood,-17.0468,35.21658
MJ210531,Kamwendo,Kamwendo,Government,Health Post,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-15.674962,35.476907
BT240538,Kanjedza MASM Clinic,Kanjedza MASM Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
BT240539,Kanjedza Medical centre,Kanjedza Medical Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81,35.05
BT240540,Kanjedza Police,Kanjeza Police dispensary,Government,Dispensary,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.815721,35.048525
BLK170541,Kankao Health Centre,Kankao,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South West Zone,Balaka,Jan 1st 75,Before Flood,-15.05425,34.92264
MH200545,"Kanyerere, Stuart. Stuka Priva",Stuka Private Clinic,Private,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.48245,35.26128
NE300548,Kanyimbi Health Post,Kanyimbi,Government,Health Post,Functional,South East Zone,Nsanje,Jan 1st 75,Before Flood,-16.69453,34.967
BT240556,Kapeni Dream Centre,Kapeni Dream Centre,Christian Health Association of Malawi (CHAM),Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.62,35.01
CK270561,Kapichira Egenco Clinic,Egenco Clinic,Private,Clinic,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-15.894817,34.757519
MH200563,Kapire Dream Centre,Kapire,Christian Health Association of Malawi (CHAM),Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.786,34.99902
BT240574,Kasamba,Kasamba Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.84,35.09
TO310577,Kasembeleka,Kasembereka Dispensary,Private,Dispensary,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.12131,35.09902
CK270582,Kasinthula Dispensary,kasinthula,Government,Dispensary,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.07416,34.81651
MH200594,Katema Health Centre,Katema,Christian Health Association of Malawi (CHAM),Health Centre,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.52563,35.03761
MH200602,Katuli Health Centre,Katuli,Government,Health Centre,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.17962,35.44476
MHG190614,Kawinga Dispensary,Nanyumbu,Government,Dispensary,Functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.85468,35.57198
MH200617,"Kayumba, Jerome. Tulame Privat",Tulame,Private,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.69346,35.17977
BT240619,Khama Private Clinic,Khama Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.65358887503056,34.9057758468748
MJ210621,Khamalathu Private Clinic,Khamalathu,Private,Clinic,Non-functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.10652,35.34491
MJ210623,Khaya,Khaya,Christian Health Association of Malawi (CHAM),Clinic,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-15.989057,35.394598
CK270624,Khokhwa,Khokhwa,Government,Health Post,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.526844,34.846862
MJ210628,Khongoloni,Khongoloni,Private,Dispensary,Non-functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.134032,35.530613
MHG190630,"Khonje, Anaclate P, Twapochele",Twapochele,Private,Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.99535,35.49268
BT240633,"Khuoge, Dane","Khuoge, Dane",Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.76708,35.07471
MH200636,Koche Community Hospital,Koche hospital,Christian Health Association of Malawi (CHAM),Hospital,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.33343,35.14335
BT240639,Kotecha Leesha D.,Kotecha Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.7895,35.08616
CK270641,Kubalalika Health Post,Kubalalika,Government,Clinic,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-15.90796,34.39405
MH200642,Kukalanga Dispensary,Kukalanga,Government,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.63744,35.18031
TO310643,Kumadzi Dispensary,Kumadzi,Private,Dispensary,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.1003,35.28876
MN280646,Kunenekude Health Centre,Kunenekude,Government,Health Centre,Functional,South East Zone,Mwanza,Jan 1st 75,Before Flood,-15.46467,34.49142
BLK170649,Kwitanda Health Centre,Kwitanda,Non-Government,Clinic,Functional,South West Zone,Balaka,Jan 1st 75,Before Flood,-15.06495,35.093
MH200650,L.M.J.Clinic,L.M.J Private Clinic,Private,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.29,35.1
BT240651,Lafarge Cement,Lafarge Cement Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.79231,35.02812
ZA230653,Lambulira Health Centre,Chilombo,Government,Health Centre,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.4841,35.337
MJ210654,Lauderdale Estate Clinic,Lauderdale,Government,Clinic,Non-functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.04331,35.53515
CK270656,Lengwe Estate Clinic,Lengwe Estate Clinic,Private,Dispensary,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,,
ZA230659,Lifelane Private clinic,Lifelane,Private,Clinic,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.387836,35.318089
MHG190661,Lifune Maternity,Lifune,Government,Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.69513,35.70615
MJ210666,Likanga Estate Clinic,Likanga,Private,Clinic,Non-functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.08306,35.58609
MHG190668,Likhonyowa,Likhonyowa,Government,Health Post,Functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.959359,35.790527
BT240677,Limbe Diagnostic,Diagnostics,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81863,35.05639
BT240678,Limbe Health Centre,Limbe,Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-13.2512161,34.3015278
BT240679,Limbe Home Based Care,Limbe Home Based Care,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81714,35.05187
BT240680,Limbe Leaf Tobacco - Limbe,Limbe Leaf Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81361,35.07035
BT240682,Limbe Medical Clinic,limbe Medical Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81,35.06
BT240683,Limbe Muslim,Limbe Muslim,Mission/Faith-based (other than CHAM),Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
BT240684,Limbe Muslim Jamat - Blantyre,Limbe Muslim Jamat - Blantyre,Mission/Faith-based (other than CHAM),Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-16.031211861657617,35.482467026519316
BT240685,Limbe Muslim Jamat - Diagnostic,LMJ Diagnostic centre,Other,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.82,35.06
BT240686,Limbe Muslim Jamat - Habiba Mussa Clinic,Limbe Muslim Jamat - Habiba Mussa Clinic,Mission/Faith-based (other than CHAM),Dispensary,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-1,1
BT240687,Limbe Muslim Jamat - Kachere,Limbe Muslim Jamat - Kachere,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81,35.06
BT240688,Limbe Muslim Jamat - Kanjedza,LMJ,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.81,35.06
BT240689,Limbe Muslim Jamat - Limbe,Limbe Muslim Jamat Limbe,Other,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.82,35.06
BT240690,Limbe Muslim Jamat - Makhetha,Hajira,Other,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.78,35.07
BT240691,Limbe Muslim Jamat - Mbayani,Limbe Muslim Jamat - Mbayani,Mission/Faith-based (other than CHAM),Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
BT240692,Limbe Muslim Jamat Clinic,Limbe Muslim Jamat Clinic,Mission/Faith-based (other than CHAM),Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
MJ210693,Limbuli Estate Clinic,Limbuli,Private,Clinic,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.05504,35.72129
MJ210695,"Lingalawe, Albert. Chiluli Pri",Lingalawe,Private,Clinic,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-16.00946,35.48489
BT240698,Lirangwe Health Centre,Lilangwe,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.52963,35.02973
NN290700,Lisungwi Community Hospital,Lisungwi Community Hospital,Government,Hospital,Functional,South East Zone,Neno,Jan 1st 75,Before Flood,-1,1
MH200705,Liwonde Medical Clinic,Chili kumtima,Private,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-15.06782,35.22473
MHG190706,Liwonde Medical Clinic, Chilikumtima,Private,Dispensary,Functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-15.06782,35.22473
MH200710,Logos pvt clinic,Logos pvt clinic,Mission/Faith-based (other than CHAM),Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,,
MH200714,Lugola Health Centre,Lugola,Christian Health Association of Malawi (CHAM),Health Centre,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-13.96144,35.14285
MJ210715,Lujeri Health Centre,Lujeri Health Centre,Private,Health Post,Functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-15.987206,35.416687
MH200716,Lukoloma Health Post,Lukoloma,Government,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-13.834763,35.103171
MH200717,Lulanga Health Centre,Lulanga,Christian Health Association of Malawi (CHAM),Health Centre,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-13.68744,34.91742
NE300718,Lulwe Health Centre,Lulwe mission,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South East Zone,Nsanje,Jan 1st 75,Before Flood,-17.08765,35.11415
TO310721,"Lumbe, John L.",Mdziwika Clinic,Private,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-15.92153,35.08464
BT240722,Lumbira / Mitsidi Health Centre,Mitsidi,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.77702,34.96873
BT240723,Lundu Health Centre,Lundu,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.42185,35.01294
BT240725,Lungu,Lungu Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.82999,35.07883
MH200726,Lungwena Health Centre,Lungwena,Government,Health Centre,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.24501,35.24804
MH200737,Luwalika Health Centre,Luwalika,Christian Health Association of Malawi (CHAM),Health Centre,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.23797,35.46952
NN290738,Luwani Health Centre,Luwani Health Centre,Government,Health Centre,Functional,South East Zone,Neno,Jan 1st 75,Before Flood,-1,1
MJ210739,Luwanje,Luwannje Health Post,Christian Health Association of Malawi (CHAM),Health Post,Non-functional,South West Zone,Mulanje,Jan 1st 75,Before Flood,-15.987206,35.416687
ZA230747,M'mambo Health Centre,M'mambo,Government,Health Centre,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.26264,35.15945
CK270749,"Mabwera, Walson D. Chinyanje P",Chinyanje,Private,Clinic,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.04313,34.79894
MHG190752,Machinga District Hospital,ku District,Government,District Hospital,Functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-15.06229,35.2263
MHG190753,Machinga Health Centre,Machinga Boma,Government,Health Centre,Functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-15.1773,35.29565
MHG190754,Machinga Private Clinic,Machinga Private Clinic,Mission/Faith-based (other than CHAM),Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.87401,35.52903
BT240756,Macro -Blantyre,Macro -Blantyre,Non-Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,,
MHG190761,Madalitso Private Clinic,Madalitso Clinic,Private,Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.99319,35.49219
MH200764,Madalitso Pvt Clinic,Madalitso Pvt Clinic,Private,Dispensary,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,,
BT240766,Madina Social Services,Madinah social services - Ndirande,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.82931,35.07405
MH200767,Madinah Social Services Mobile Clinic,Madinah Social Services Mobile Clinic,Private,Dispensary,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,,
BT240770,Madziabango Health Centre,Madziabango,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.9678,34.90825
CK270772,Mafale,mafale,Government,Dispensary,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.286443,34.838562
TO310774,Mafisi Health Centre,Mafisi,Private,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.06805,35.25101
NN290776,Magaleta Health Centre,Magaleta,Government,Health Centre,Functional,South East Zone,Neno,Jan 1st 75,Before Flood,-15.55083,34.62836
MH200777,Maganga,Maganga,Private,Dispensary,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,,
CK270783,"Mainjeni, Fyson W D. Fema Priv",Fema,Private,Clinic,Non-functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.26676,35.06284
CK270784,Majete,Majete,Government,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-13.000,22.000
TO310785,Makande,Makande,Government,Health Post,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,,
MH200786,Makanjira Health Centre,Makanjira,Government,Health Centre,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-13.71591,35.04704
TO310787,Makapwa Health Centre,Makapwa Health Centre,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.18199,35.27984
BT240788,Makata Health Centre,Makata,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.62996,35.07964
NE300789,Makhanga Health Centre,Makhanga,Government,Health Centre,Functional,South East Zone,Nsanje,Jan 1st 75,Before Flood,-16.33721,35.09671
BT240790,Makhetha,Makhetha health centre,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.62996,35.07964
CK270791,Makhwira Health Centre,Makhwira,Government,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,Before Flood,-16.19483,35.01065
TO310794,Makungwa,Makungwa,Government,Health Centre,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-1,1
ZA230795,Makwapala Health Centre,Mwakwapala,Government,Health Centre,Functional,South West Zone,Zomba,Jan 1st 75,Before Flood,-15.36938,35.4506
TO310797,Makwasa Estate Clinic,Makwasa Estate Clinic,Private,Dispensary,Functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,,
TO310798,Makwasa Estate Clinic,Dispensory,Other,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.19476,35.10564
BT240799,Malabada health centre,Malabada,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.630113603118772,34.93163766777741
MH200800,Malalwi Army Marine Dispensary,Malawi Army Marine,Government,Dispensary,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.073,34.91684
BT240802,Malamulo Day - Amina,Malamulo day Amina,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.80361,35.07471
TO310803,Malamulo Mission Hospital,Malamulo Mission Hospital,Christian Health Association of Malawi (CHAM),Hospital,Non-functional,South East Zone,Thyolo,Jan 1st 75,Before Flood,-16.17155,35.11011
BT240806,Malawi Polytechnic,Polytechnic,Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-15.80207,35.02718
MH200807,Maldeco Fisheries Clinic,Maldeco Fisheries Clinic,Private,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.3335,35.1492
MH200808,Malembo Health Centre,Malembo,Christian Health Association of Malawi (CHAM),Health Centre,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.23628,34.82524
MH200810,Maleta Health Post,Maleta,Government,Health Post,Functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-13.92942,35.26355
MHG190813,Malingamoyo Private Clinic,Kumalinga moyo,Private,Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,Before Flood,-14.87031,35.5294
BT240815,Malmed,Malmed,Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,Before Flood,-13.2512161,34.3015278
MH200817,Malombe Dispensary,Malombe,Government,Clinic,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.6305,35.34912
MH200820,Malukula Health Centre,Malukula,Government,Health Centre,Non-functional,South West Zone,Mangochi,Jan 1st 75,Before Flood,-14.44362,35.35582
